Word,KL_Divergence,Max_Index,Max_elementwise_KL
shine,0.24839589,"('outdoors', 'man-made', 'transportation_urban')",0.19013595581054688
throw,0.2530601,"('outdoors', 'man-made', 'recreation')",0.18873240053653717
block,0.18579595,"('indoors', 'man-made', 'recreation')",0.18690113723278046
laugh,0.23965886,"('indoors', 'man-made', 'domestic')",0.17920593917369843
knock,0.3079957,"('indoors', 'man-made', 'recreation')",0.1720295548439026
wrap,0.3039928,"('indoors', 'man-made', 'domestic')",0.17017439007759094
drive,0.20617984,"('outdoors', 'man-made', 'transportation_urban')",0.16729605197906494
converse,0.3107657,"('outdoors', 'man-made', 'transportation_urban')",0.1650126725435257
wait,0.1830664,"('outdoors', 'man-made', 'transportation_urban')",0.16395686566829681
attach,0.19624065,"('outdoors', 'man-made', 'transportation_urban')",0.16288185119628906
pile,0.2783154,"('outdoors', 'man-made', 'transportation_urban')",0.16265739500522614
safe,0.20645303,"('outdoors', 'man-made', 'transportation_urban')",0.16031667590141296
opposite,0.22549257,"('outdoors', 'man-made', 'transportation_urban')",0.15802815556526184
catch,0.2502271,"('outdoors', 'man-made', 'recreation')",0.15496639907360077
seat,0.18976724,"('outdoors', 'man-made', 'transportation_urban')",0.153984934091568
drag,0.22188848,"('outdoors', 'man-made', 'recreation')",0.15201595425605774
press,0.19541179,"('outdoors', 'man-made', 'recreation')",0.14967158436775208
chase,0.24261683,"('outdoors', 'natural', 'field_forest')",0.14895617961883545
prevent,0.3123954,"('indoors', 'man-made', 'domestic')",0.14839352667331696
work,0.20381255,"('outdoors', 'man-made', 'transportation_urban')",0.1476084440946579
speak,0.24093808,"('indoors', 'man-made', 'work_education')",0.1469193994998932
master,0.28894392,"('indoors', 'man-made', 'domestic')",0.14433126151561737
land,0.17445257,"('outdoors', 'man-made', 'recreation')",0.1434871405363083
emerge,0.24243976,"('outdoors', 'man-made', 'transportation_urban')",0.14343348145484924
cut,0.26950526,"('indoors', 'man-made', 'work_education')",0.1395871639251709
collect,0.2005539,"('indoors', 'man-made', 'work_education')",0.13783563673496246
stuff,0.27456707,"('indoors', 'man-made', 'domestic')",0.13502204418182373
contain,0.2270917,"('outdoors', 'man-made', 'transportation_urban')",0.1341858208179474
grin,0.22848488,"('outdoors', 'man-made', 'recreation')",0.12314444780349731
pattern,0.30514488,"('outdoors', 'man-made', 'transportation_urban')",0.1230345144867897
attract,0.2203223,"('outdoors', 'man-made', 'transportation_urban')",0.12260613590478897
approach,0.27991816,"('outdoors', 'man-made', 'transportation_urban')",0.11988840997219086
express,0.21654914,"('outdoors', 'man-made', 'recreation')",0.11815067380666733
display,0.21615471,"('outdoors', 'man-made', 'transportation_urban')",0.11705184727907181
grind,0.2654292,"('outdoors', 'man-made', 'recreation')",0.11494667828083038
happy,0.20434642,"('indoors', 'man-made', 'domestic')",0.11470753699541092
kiss,0.3094321,"('outdoors', 'natural', 'field_forest')",0.11342473328113556
stare,0.22843114,"('outdoors', 'man-made', 'transportation_urban')",0.11110233515501022
partial,0.26199594,"('outdoors', 'man-made', 'work_education')",0.11068696528673172
cause,0.2822789,"('outdoors', 'man-made', 'transportation_urban')",0.1047619879245758
pause,0.21459968,"('outdoors', 'man-made', 'recreation')",0.10178129374980927
come,0.20066118,"('outdoors', 'man-made', 'recreation')",0.10160700976848602
blur,0.21739255,"('outdoors', 'man-made', 'recreation')",0.10028621554374695
find,0.22328213,"('outdoors', 'man-made', 'recreation')",0.10028621554374695
observe,0.21137069,"('outdoors', 'man-made', 'transportation_urban')",0.10019981861114502
create,0.2499522,"('indoors', 'man-made', 'recreation')",0.09846623241901398
spray,0.23542155,"('outdoors', 'man-made', 'transportation_urban')",0.098334401845932
touch,0.18299545,"('indoors', 'man-made', 'recreation')",0.09609568864107132
blow,0.19372024,"('outdoors', 'natural', 'field_forest')",0.09459370374679565
stay,0.26018643,"('outdoors', 'man-made', 'transportation_urban')",0.09425151348114014
travel,0.2717537,"('outdoors', 'man-made', 'transportation_urban')",0.09425151348114014
share,0.18546963,"('outdoors', 'man-made', 'transportation_urban')",0.08408468961715698
chat,0.23645666,"('outdoors', 'man-made', 'transportation_urban')",0.08063647896051407
operate,0.1757033,"('outdoors', 'man-made', 'recreation')",0.07440034300088882
discuss,0.22406471,"('outdoors', 'man-made', 'transportation_urban')",0.06650909781455994
fight,0.17059922,"('indoors', 'man-made', 'recreation')",0.1814412623643875
sign,0.13271911,"('outdoors', 'man-made', 'transportation_urban')",0.16811200976371765
cross,0.11379212,"('outdoors', 'man-made', 'transportation_urban')",0.16577623784542084
fall,0.1645984,"('outdoors', 'natural', 'body_of_water')",0.14964532852172852
push,0.15536617,"('outdoors', 'man-made', 'transportation_urban')",0.14596034586429596
ready,0.12950717,"('outdoors', 'man-made', 'recreation')",0.1390705555677414
carry,0.11885898,"('outdoors', 'man-made', 'transportation_urban')",0.13425983488559723
open,0.13996837,"('indoors', 'man-made', 'domestic')",0.13346946239471436
move,0.14182998,"('outdoors', 'man-made', 'recreation')",0.12684288620948792
