,indoors - man-made - restaurant,outdoors - man-made - transportation_urban,outdoors - natural - body_of_water,outdoors - man-made - work_education,outdoors - natural - field_forest,indoors - man-made - work_education,outdoors - natural - mountain,outdoors - man-made - domestic,outdoors - man-made - recreation,indoors - man-made - transportation_urban,indoors - man-made - recreation,indoors - man-made - domestic,outdoors - man-made - other_unclear,outdoors - natural - other_unclear,outdoors - man-made - restaurant,indoors - man-made - other_unclear
assemble-01,,2.0,,,,,,,,,,,,,,
bicycle-01,,3.0,,,,,,,1.0,,1.0,,,,,
touch-01,,1.0,2.0,,,,,,,,2.0,,,,,
keep-01,,1.0,,,,,,,,,,,,,,
lay-01,,5.0,1.0,,2.0,,,1.0,4.0,,,4.0,,1.0,,
chat-01,,3.0,,,,1.0,,,,,,,,,1.0,
pass-by-17,,9.0,,,,,,,1.0,,,,,,,
bull-00,,1.0,,,,,,,,,,,,,,
look-02,,2.0,1.0,2.0,1.0,,,,,,2.0,,,,,
stroll-01,,6.0,,,2.0,,1.0,1.0,1.0,1.0,,,,,,
overlook-01,,1.0,,,1.0,,,,,,,,,,,
sleep-01,,9.0,1.0,,2.0,1.0,1.0,,7.0,9.0,,6.0,2.0,,1.0,
pass-out-11,,1.0,,,,,,,,,,,,,,
jump-03,,13.0,9.0,,21.0,,12.0,7.0,34.0,,6.0,3.0,1.0,3.0,,
surround-01,,4.0,,,1.0,,,,2.0,,1.0,1.0,,,,
excavate-01,,1.0,,2.0,,,,,,,,,,,,
approach-01,,5.0,,,2.0,1.0,,,,1.0,,,,1.0,,
assemble-02,,3.0,,,,,,,,,,,,,,
smoke-02,,3.0,,,,,,,1.0,1.0,,,1.0,,,1.0
stare-01,,5.0,2.0,,,,,,2.0,,1.0,1.0,1.0,,,
check-out-05,,2.0,1.0,1.0,,1.0,,,1.0,,,,1.0,,,1.0
hula-hoop-01,,1.0,,,,,,,,,,,,,,
knock-01,,1.0,,,,,,,,,,,,,,
enter-01,,1.0,1.0,,,,,,1.0,,,,,,,
set-up-03,,3.0,1.0,1.0,,1.0,1.0,,1.0,,,,,,,
show-off-03,,1.0,,,,,,,1.0,,,,,,,
signal-07,,1.0,,,,1.0,,,,,,,,,,
cross-02,,19.0,2.0,,,,,,1.0,,,,,,,
show-01,,5.0,4.0,,,4.0,,2.0,3.0,,2.0,2.0,1.0,,,2.0
picket-01,,1.0,,,,,,,,,,,,,,
cool-off-02,,1.0,,,,,,,1.0,,,,,,,
bike-01,,4.0,,,2.0,,,,,,,,,,,
land-01,,1.0,2.0,,,,,,3.0,,2.0,,,,,
parachute-01,,1.0,,,,,,,,,,,,,,
stack-01,,1.0,,,,,,,1.0,,,1.0,,,,
hand-01,,3.0,,,,,,,1.0,,,,,,,
party-01,,2.0,,,,,,,,,1.0,,,,,
line-up-02,,3.0,,1.0,1.0,,1.0,,1.0,,,,1.0,,,
crow-01,,1.0,,,,,,,,,,,,,,
make-18,,1.0,,,,,,,,,,,,,,
board-01,,5.0,5.0,,,,,,2.0,,,,,,,
go-02,,4.0,,,,,1.0,,1.0,1.0,2.0,,,,,
patrol-01,,2.0,1.0,1.0,,,,,,,,,,,,
browse-01,,3.0,,2.0,,1.0,,,,,,,,,,
bend-01,,5.0,,,1.0,1.0,,,1.0,,2.0,,,,,1.0
refill-01,,1.0,,,,,,,,,,,,,,
stick-01,,1.0,,,,1.0,,,1.0,,,,,,,1.0
lie-down-10,,2.0,,,,,,,,,,,,,,
fly-01,,3.0,1.0,,2.0,,2.0,,4.0,,,,,,,
view-01,,13.0,,,2.0,1.0,1.0,1.0,2.0,,3.0,3.0,1.0,,1.0,1.0
rush-01,,1.0,2.0,,,,,,,,,,,,,
rollerblade-01,,1.0,,,,,,,1.0,,,,,,,
poo-01,,1.0,,,,,,,,,,,,,,
close-01,,1.0,,,,,,,,,,1.0,,,,
kiss-01,,4.0,,,3.0,,,,,,1.0,1.0,3.0,1.0,,1.0
throw-01,,1.0,3.0,,1.0,,,,7.0,,5.0,1.0,,,,
smooth-04,,1.0,,,,,,,,,,,,,,
crack-01,,1.0,,,,,,,,,,,,,,
review-01,,1.0,,,,,,,,,,,,,,
form-01,,1.0,,,,,1.0,,1.0,,1.0,,,1.0,,
run-01,,1.0,,,,,,,,,,,,,,
shoot-02,,2.0,,,2.0,1.0,,,,,,,,,,
repair-01,,1.0,,,,,,3.0,,,,,1.0,,,
kneel-01,,8.0,5.0,1.0,1.0,,2.0,1.0,4.0,,3.0,1.0,1.0,,,1.0
examine-01,,3.0,,,1.0,11.0,,1.0,2.0,,,2.0,,,1.0,
hail-02,,1.0,,,,,,,,,,,,,,
collect-01,,2.0,1.0,,1.0,,,,1.0,,,,,,,
dump-01,,1.0,,,,,,,,,,,,,,
unload-02,,2.0,,,,,,,,,,,,,,
seem-01,,2.0,1.0,,1.0,1.0,,,2.0,,1.0,,,,,
wheel-01,,1.0,,,,,,,,,,,,,,
protest-01,,2.0,,,,,,,,,,,,,,
clean-up-02,,1.0,,1.0,,,,,,,,,,,,
leave-13,,1.0,,,,,,,,,,,,1.0,,
squat-01,,4.0,1.0,1.0,1.0,1.0,,,,,,,,,,
see-01,,2.0,2.0,,,2.0,3.0,,1.0,,1.0,1.0,1.0,,,
admire-01,,1.0,,,,,,,,,1.0,,,,,
shadow-01,,1.0,,,,,,,,,,,,,,
trim-02,,1.0,,,,,,,,,,,,,,
rummage-01,,1.0,,,,,,,,,,,,,,
sort-01,,1.0,,3.0,,,,,,,,,,,,
shine-01,,2.0,,,,,,,,,,,,,,
adjust-01,,1.0,1.0,,1.0,1.0,,,1.0,,,1.0,,,,
tend-01,,1.0,,,,,,1.0,1.0,,,,,,,
cart-01,,1.0,,,,,,,,,,,,,,
monitor-01,,2.0,,,,,,,,,,,,,,
seat-01,,3.0,,,2.0,2.0,,,5.0,,,1.0,,,,
disrupt-01,,1.0,,,,,,,,,,,,,,
wander-01,,2.0,,,,,,,,,,,,1.0,,
climb-01,,4.0,2.0,1.0,5.0,1.0,13.0,,9.0,,2.0,,,,,
have-03,,8.0,5.0,,5.0,1.0,,,6.0,1.0,5.0,4.0,,1.0,,3.0
wave-01,,2.0,,,,,,,1.0,1.0,,1.0,,,,
demonstrate-01,,2.0,,1.0,,1.0,,,2.0,,,,,,,
push-01,,10.0,,2.0,,1.0,,2.0,4.0,,,,1.0,,,
raise-01,,4.0,1.0,,,,,1.0,,,2.0,,,,,
dress-01,,5.0,1.0,,,,,,,,2.0,,,,,
lie-07,,2.0,,,6.0,1.0,1.0,1.0,1.0,,1.0,6.0,,,,
needlepoint-01,,1.0,,,,,,,,,,,,,,
shop-01,,7.0,,4.0,,8.0,,,1.0,,,,,,,
celebrate-01,,1.0,,,,,,,1.0,,1.0,,,,,1.0
display-01,,2.0,,1.0,,,,,1.0,1.0,,,,,,
pass-05,,1.0,,,,,,,1.0,,,1.0,,,,
glance-01,,2.0,,,,,,,,,,,,,,
gape-01,,1.0,,,,,,,,,,,,,,
tend-02,,1.0,,,,,,,,,,,,,,
put-up-11,,2.0,1.0,1.0,,,,,,,,,,,,
change-01,,1.0,,,,,,,,,,1.0,,,,
shield-01,,1.0,,,,,,,,,,,,,,
busk-01,,1.0,,,,,,,,,,,,,,
exit-01,,3.0,,1.0,,1.0,,,1.0,1.0,,,,,,
shelter-01,,1.0,,,,,,,,,,,,,,
rain-01,,2.0,,,,,,,1.0,,,,,,,
turn-01,,4.0,2.0,,1.0,,2.0,,1.0,,1.0,,,,,
kick-01,,1.0,4.0,,2.0,,,1.0,6.0,,2.0,,,,,
make-02,,1.0,,,,1.0,,,1.0,,,,,,,
kick-01flip-01,,1.0,,,,,,,,,,,,,,
attempt-01,,5.0,4.0,,1.0,,1.0,,3.0,,1.0,1.0,,,,
look-up-05,,2.0,,,,,,,3.0,,1.0,,,,,
shave-01,,1.0,1.0,,,,,,,,,1.0,,,,
cut-01,,2.0,1.0,1.0,,2.0,1.0,,,,,2.0,,,,
mow-01,,1.0,,,,,,2.0,,,,,,,,
open-up-03,,1.0,,,,,,,,,,1.0,,,,
apply-03,,2.0,,,,,,,,,,1.0,,,,1.0
race-02,,10.0,1.0,,2.0,,,,17.0,,1.0,,1.0,,,
skateboard-01,,4.0,,1.0,,,,,8.0,,1.0,,,,,
kneel-down-03,,1.0,,,,,,,,,,,,,,
conduct-01,,1.0,,,,,,,,,1.0,,,,,
skate-01,,1.0,1.0,,,,,,5.0,,4.0,,,,,
paint-02,,7.0,,2.0,1.0,1.0,,1.0,,,,,2.0,,,1.0
dress-up-02,,2.0,,,,,,,,,,,,,,
construct-01,,1.0,,1.0,,,,,,,,1.0,,,,
wash-01,,1.0,,,,,,1.0,,,,4.0,2.0,,,1.0
do-02,,1.0,1.0,1.0,,,1.0,1.0,5.0,1.0,4.0,2.0,,1.0,,
balance-01,,3.0,1.0,,1.0,1.0,,,1.0,,2.0,,,,,
meet-03,,1.0,,,,,,1.0,1.0,,,,,1.0,2.0,
paint-01,,1.0,,,,,,1.0,,,,,1.0,,,
snap-06,,1.0,,,,,,,,,,,,,,
act-02,,1.0,,,,,,,,,1.0,,,,,
breathe-01,,1.0,,,,,,,,,,,,,,
detain-01,,1.0,,,,,,,,,,,,,,
faint-01,,1.0,,,,,,,,,,,,,,
create-01,,1.0,1.0,,,,,,,,1.0,,,,,
pull-01,,7.0,2.0,,1.0,,1.0,,,,,,,,,
march-01,,2.0,,,,,,,1.0,,,,,,,
flip-01,,3.0,2.0,,2.0,,1.0,,1.0,,2.0,1.0,,1.0,,
cruise-01,,1.0,,,,,,,,,,,,,,
think-01,,1.0,,,,,,,,,,,,,,
get-05,,3.0,1.0,,,,,,,,,1.0,,,,
rest-01,,2.0,,,1.0,,3.0,,,,,1.0,2.0,,,
catch-02,,1.0,,,,1.0,,,,,,,,,,
feed-01,,1.0,1.0,,,,,,1.0,,,,,,,
clean-01,,2.0,,1.0,,,,1.0,,,,2.0,1.0,,1.0,
roast-01,,1.0,,,,,,,,,,,,,,
comfort-01,,1.0,,,,,,,,,,,,,,
cover-02,,1.0,,,2.0,,1.0,1.0,,,,,,,,
struggle-02,,2.0,,,,,,,,,,,,,,
let-01,,2.0,,,,,,,,,1.0,,,,,
draw-02,,1.0,,,,,,,,,,,,,,
pass-02,,2.0,,,,,,,,,,,,,,
grope-01,,1.0,,,,,,,,,,,,,,
reach-03,,1.0,,2.0,,1.0,,,,,2.0,3.0,1.0,,1.0,
leap-01,,1.0,1.0,,3.0,,,,4.0,,2.0,1.0,,,,
transport-01,,1.0,,,,,,,,,,,,,,
practice-01,,1.0,2.0,,,,,1.0,4.0,,9.0,,,,,
point-01,,2.0,1.0,,1.0,2.0,,,1.0,,,2.0,,,,1.0
ask-01,,1.0,,,,,,,,,,,,,,
direct-01,,1.0,,,,,,,,,,,,,,
picture-01,,3.0,,,,,,,1.0,,,,,,,
fix-02,,2.0,,1.0,2.0,,,2.0,,,,,,,,
fight-01,,1.0,2.0,,2.0,,,,1.0,,4.0,,,,,
reflect-01,,2.0,,,,,,,,,,,,,,
entertain-01,,1.0,,,,,,,1.0,,,,,,,
nap-01,,1.0,,,1.0,1.0,,,2.0,,,1.0,1.0,,,
start-01,,1.0,,,1.0,,,,,,2.0,,,,,
trick-01,,2.0,,,,,,1.0,11.0,,4.0,,1.0,,,
conceal-01,,2.0,,,,,,,,,,,,,,
congregate-01,,2.0,,1.0,,,,,,,,,,,,
watch-over-05,,1.0,,,,,,,,,,,,,,
acquaint-01,,1.0,,,,,,,,,,,,,,
stretch-01,,1.0,2.0,,,,,,2.0,,1.0,,,,,1.0
polish-01,,1.0,,,,,,,,,,,,,,
find-01,,1.0,,,1.0,,,,1.0,,,,,,,
get-01,,2.0,,,,,1.0,,1.0,,,,,,,
lead-01,,1.0,,,,,,,,,,,,,,
prepare-02,,5.0,3.0,,,,1.0,,5.0,,2.0,,,,,
call-02,,1.0,,,,,,,,,1.0,,,,,
duck-01,,1.0,,,,,,,,,,,,,,
stand-08,,1.0,,,,1.0,,,,,,,1.0,,,
ready-01,,1.0,3.0,,1.0,1.0,1.0,,2.0,1.0,4.0,,,,,
mill-00,,1.0,,,,,,,,,,,,,,
gaze-01,,2.0,,,,,,,2.0,,,,,,,1.0
fiddle-01,,1.0,,,,,,,,,,,,,,
text-01,,1.0,,,,,,,,,,,,,,
strike-02,,1.0,,,,,,,,,,,,,,
parade-02,,1.0,,,,,,,,,,,,,,
cup-03,,1.0,,,,,,,,,,,,,,
pick-up-04,,1.0,,,1.0,,,,2.0,,,,,,,
overflowing-01,,1.0,,,,,,,,,,,,,,
fill-01,,2.0,,,,,,,,,,,,,,
stay-01,,1.0,,,,,,,,,,,,,,
lounge-01,,2.0,3.0,,,,,,2.0,,,1.0,,,,
draw-01,,2.0,,1.0,,1.0,,,,,,1.0,,,,
hide-01,,1.0,,,1.0,,,,1.0,,,,,,,
boil-01,,1.0,,,,,,,,,,,,,,
buy-01,,2.0,,2.0,,4.0,,2.0,1.0,,,,,,,
cuddle-01,,1.0,,,,,,,,,,1.0,,,,
hang-01,,1.0,1.0,2.0,1.0,,1.0,3.0,2.0,,,1.0,,,,
exchange-01,,2.0,,1.0,,1.0,,,,,,,,,,
inhabit-01,,1.0,,,,,,,,,,,,,,
wade-01,,1.0,6.0,,2.0,,,,,,,,,,,
mill-02,,1.0,,,,1.0,,,,,,,,,,
roam-01,,2.0,,,,,,,,,,,,,,
check-01,,2.0,,1.0,,3.0,,1.0,,1.0,,2.0,2.0,,1.0,
notice-01,,1.0,,,,,,,,,,,,,,
gloat-01,,1.0,,,,,,,,,,,,,,
breakdance-00,,1.0,,,,1.0,,,,,1.0,,,,,
busy-01,,1.0,,1.0,,1.0,,,,,,,,,,
make-out-12,,1.0,,,,,,,,,,,,,,
sad-02,,1.0,,,,,,,,,,,,,,
cluster-01,,1.0,,,1.0,,,,2.0,,,,,,,
occupy-01,,1.0,,,,,,,,,,1.0,,,,
ticket-02,,1.0,,,,,,,,,,,,,,
pull-over-05,,2.0,,,,,,,,,,,,,,
roll-01,,1.0,,,1.0,,,,,,2.0,,,,,1.0
graffiti-01,,1.0,,,,,,,,,,,,,,
bustle-01,,1.0,,1.0,,,,,,,,,,,,
soar-01,,1.0,,,,,,,,,,,,,,
hit-01,,1.0,,,,,,2.0,5.0,,1.0,,,,,1.0
explore-01,,1.0,,,,,,,,,,1.0,,1.0,,
ascend-01,,1.0,,,,,,,,,,,,,,
near-02,,1.0,,,1.0,,,,,,,,,,,
thumbs-up-00,,1.0,,,,,,,1.0,,,,,,,
guard-01,,1.0,,,,,,,,,,,,,,
hold-out-10,,1.0,,,,,,,,,,,,,,
come-01,,1.0,,,,,1.0,1.0,1.0,,,,,,,
fit-01,,1.0,,,,,,,,,,,,,,
appear-01,,1.0,1.0,,,,,,,,,,,,,
hop-01,,1.0,,,,,,,1.0,,,,,,,
load-01,,1.0,,,1.0,,,,,,,,,,,
round-03,,1.0,,,,,,,1.0,,1.0,,,,,
speed-01,,1.0,2.0,,,,,,1.0,,,,,,,
stunt-01,,1.0,,,,,,1.0,,,,,,,,
deck-out-01,,1.0,,,,,,,,,,,,,,
race-01,,3.0,1.0,,,,1.0,,3.0,,2.0,,1.0,,,
give-01,,1.0,,,,,,,,,2.0,1.0,,,,
pack-01,,1.0,,,,,,,,,,,,,,
spray-paint-01,,1.0,,,,,,,,,,,,,,
focus-01,,1.0,1.0,,,,,,,,,,,,,
pedal-01,,2.0,,,,,,,1.0,,,,,,,
elevate-01,,1.0,,,,,,,,,,,,,,
step-01,,1.0,1.0,,,,,,2.0,,,,,,,
mount-03,,1.0,,,,,,,,,,,,,,
sprint-01,,1.0,,,1.0,,,,,,,,,,,
sow-01,,1.0,,,,,,,,,,,,,,
recreate-01,,1.0,,,,,,,,,,,,,,
shake-01,,,3.0,,1.0,,,,1.0,,1.0,,,,,
activity-06,,,1.0,,,1.0,,,,,,,,,,
swim-01,,,14.0,,,,,,8.0,,4.0,,,,,
splash-01,,,5.0,,,,,,1.0,,1.0,,,,,
spin-01,,,1.0,,,,,,,,,,,,,
picnic-01,,,2.0,,,,1.0,,2.0,,,,,,,
trot-01,,,2.0,,1.0,,,,,,,,,,,
interact-01,,,1.0,,,,,,2.0,,1.0,1.0,,1.0,,
fun-01,,,2.0,,,,,1.0,2.0,,,,,,1.0,
unhook-01,,,1.0,,,,,,,,,,,,,
battle-01,,,1.0,,,,,,,,2.0,,,,,
emerge-01,,,1.0,,,,,,,,1.0,,,,,
kayak-01,,,3.0,,,,,,,,,,,,,
build-01,,,2.0,,,1.0,,,,,,1.0,,,,
camp-02,,,1.0,,,,,,,,,,,,,
spray-01,,,1.0,,,,1.0,,,,,,,,,
wakeboard-01,,,2.0,,,,,,,,,,,,,
wakeboard-00,,,1.0,,,,,,,,,,,,,
bury-01,,,1.0,,,,,,,,,,,,,
drag-01,,,1.0,,,,,,1.0,,,,,,,
come-out-09,,,1.0,,,,,,,,,,,,,
fish-01,,,9.0,,,,,,1.0,,,,,,,
paddle-01,,,7.0,,1.0,,,,,,,,,,,
hike-01,,,2.0,,3.0,,9.0,,,,,,,,,
dive-01,,,5.0,,1.0,,,,4.0,,1.0,,,,,
row-01,,,5.0,,,,,,,,,,,,,
surf-01,,,19.0,,,,,,1.0,,,,,,,
juggle-01,,,1.0,,,,,1.0,1.0,,,,,,,
juggling-01,,,1.0,,,,,,,,,,,,,
scream-01,,,1.0,,,,,,,,,,,,,
submerge-01,,,1.0,,,1.0,,,,,,,,,,
sniffs-01,,,1.0,,,,,,,,,,,,,
steal-01,,,1.0,,,,,,,,,,,,,
lift-01,,,1.0,,,,,,2.0,,1.0,1.0,,,,
raid-01,,,1.0,,,,,,,,,,,,,
steadie-01,,,2.0,,,,,,,,,,,,,
leave-02,,,1.0,,,,,,,,,,,,,
whip-01,,,1.0,,,,,,,,,,,,,
swing-02,,,1.0,,,,,2.0,5.0,,,1.0,,,,
tug-01,,,1.0,,1.0,,,,,,,,,,,
canoe-01,,,1.0,,,,,,,,,,,,,
gather-01,,,1.0,,1.0,,,,,,,,,,,
cheer-02,,,1.0,,,,,,,,1.0,,,,,
bear-01,,,1.0,,,,,,,,,,,1.0,,
bare-02,,,1.0,,,,,,,,,,,1.0,,
split-01,,,1.0,,,1.0,,,,,,,,,,
exercise-02,,,1.0,,,,,,,,1.0,,,,,
spread-03,,,1.0,,,,,,,,,,,,,
expand-01,,,1.0,,,,,,,,,,,,,
flap-01,,,1.0,,,,,,,,,,,,,
joke-01,,,1.0,,,,,,,,,,,,,
operate-01,,,1.0,1.0,,,,,,,,,1.0,,,
suspend-02,,,1.0,,,,1.0,,1.0,,,,,,,
sail-01,,,1.0,,,,,,,,,,,,,
begin-01,,,3.0,,,,,,,,,,,,,
hover-01,,,2.0,,,,,,,,,,,1.0,,
rear-01,,,1.0,,,,,,,,,,,,,
place-01,,,1.0,,,1.0,1.0,1.0,,,,,,,,
obscure-01,,,1.0,,,,,,,,,,,,,
divind-01,,,1.0,,,,,,,,,,,,,
snap-03,,,1.0,,,,,,1.0,,,,,,,
catch-01,,,2.0,,7.0,,1.0,2.0,4.0,,,,,,,
parasail-01,,,2.0,,,,,,,,,,,,,
